question,answer
What will the RCE target be for the following year? How do I get paid a 1x bonus?,"Effectively, last year’s RCE will be this year’s target. So if One Company_A generates the same RCE as last year, you will receive a 1x bonus. If One Company_A generates more than last year’s RCE, you will be paid more than 1x bonus. If One Company_A generates less than last year’s RCE, you will be paid less then 1x bonus. To generate last year’s RCE, One Company_A needs to generate a required return of 8.5% on the incremental investment made during the course of the year. Zero improvement simply means that Company_A generated exactly the amount of return that was required by investors for the additional investment made in the business. By focusing on improving from last year, there is no need to arbitrarily negotiate plans. Plans will be important for planning for “greatness” but will not be used to set your target bonus."
Will I have less control over my pay and/or less upside potential with RCE-based compensation?,"The upside and downside risk will be exactly the same. Each dollar of RCE Improvement has the same value whether you achieve a bonus multiple higher than 1x or lower than 1x. The payout curve is a straight line. When RCE is linked to compensation, everyone has the ability to control their pay by acting like an owner: 1) making operating decisions that drive more growth and EBITDA through integration and operating excellence; 2) investing in innovation and operating opportunities that will meaningfully beat the required return; and 3) harvesting all activities where value cannot be created and where the resources can do more good elsewhere.  "
"Will RCE discourage large investments that don’t immediately earn the cost of capital, but will create value in the long-term? What about investments driven by things like environmental or safety regulations?","No. When RCE is implemented properly, it encourages profitable long-term investments that create shareholder value. Further, the RCE way of the thinking requires managers to consider risks when evaluating environmental and safety-related investments. This is what we scientifically call a “no brainer.” If regulations are not met, then RCE will be much more negative when the regulators come knocking."
How do I manage to plan and RCE concurrently?,"In an RCE framework, it is important for plans to be realistic but also challenging. RCE should remove gaming around plans, allowing for business units, teams, and employees to set stretch goals and continuously strive for improvement versus striving to simply set low expectations and beat plan."
"Under an RCE framework, will scorecards and essential wins still be important?","Eventually, scorecards and essential wins will encompass RCE metrics so they will be in alignment; however, that will likely take some time to evolve. "
Is RCE the same as EVA? Why do we need RCE if we already use NPV?,"No. While they are both economic profit measures, RCE addresses several deficiencies of EVA. First, EVA is substantially more complex than RCE and requires many more adjustments (often more than 150!). RCE’s few economic adjustments require inputs that can be drawn directly from Company_A’s income statement and balance sheet. Further, EVA can discourage growth investments by making new investments look prohibitively expensive while making older investments look comparatively “cheap” – causing businesses to sweat their prior investments. RCE has been specifically designed to address these EVA flaws in mind, so that it is much more practical to implement, tracks to TSR (Total Share Holder returns which is the price appreciation and dividends of a company) much better and is more effective as an annual performance metric. RCE is simple, provides a common language, and links value creation, behavior, and incentives. 
RCE and NPV are very consistent economically, with the main difference being that RCE works much better as an annual performance measure. Anyone familiar with the use of NPV will likely find it easy to adapt to the RCE framework. "
Can RCE be applied to our R&D portfolio?,"Yes. RCE can be applied to evaluate decisions throughout the organization, including R&D investments. For example, RCE could be incorporated into a holistic resource allocation methodology for projects in the pipeline."
How does the RCE implementation fit in with all the other initiatives we have going on?,"The RCE implementation complements Company_A’s other initiatives. Because RCE acts as a common language throughout the organization, it will make it easier to prioritize among the other initiatives, driving further change and growth within Company_A. The organizational change management effort in support of RCE recognizes and accounts for other initiatives. By building an ownership culture, the RCE implementation aims to create long-lasting cultural change at Company_A."
"At a high level, what is Company_A doing and why?","Company_A is moving away from its traditional performance measures of revenue, EBITDA, and Innovation and adopting a simpler way to measure value creation called Residual Cash Earnings. 
Residual Cash Earnings ties directly to long-term value creation and is focused on improvement, making what is good for the company and investors also good for employees and their families."
Why are we adopting RCE and how to use it?,"Residual Cash Earnings or “RCE” is a simple and comprehensive measure that will provide better insights into where value is being created or destroyed as it “dollarizes” into one metric the trade-offs between growth, returns and cash flow. RCE tells you whether the value of your outputs exceed the value of your inputs and compares that value creation to what you could have generated had you invested in another alternative. 
The difference between the RCE of this year and last year represents the cumulative sum of all the positive and negative RCE decisions made during the year and ultimately, the change in RCE from one year to the next is what matters most!
Perhaps more important than the RCE measure itself is the One Company_A Ownership Culture that it is designed to nurture. Our dedication to driving One Company_A through an ownership culture starts with our commitment to our people and our vision of ‘food and companionship enriching life.’ 
Very broadly, an ownership culture is one in which every employee owns their decisions and the results and consequences of their actions. If you act as a One Company_A owner, RCE will be improved and value will be created, and if you purposefully increase RCE you will be acting like an owner. 
Some of the traits associated with an ownership culture are spending money like it’s your own, practicing extreme prioritization, embracing a willingness to fail, doing more and talking less, and balancing the long and short-term. Embracing an ownership culture through these traits requires substantial effort, but also yields substantial benefits. 
Every single Company_A employee can directly influence RCE by thinking like an owner in each decision they make in their day-to-day roles. My challenge to you is to brainstorm and share RCE-positive decisions we can make on our team!"
What's happening to our bonus plan?,"Company_A is moving from incentive compensation based on revenue, EBITDA, and Innovation to a plan based on improvement in RCE. 
Under this type of incentive structure, there is no target-setting – our goal is simple: to improve RCE.  
If we match last year’s RCE, we’ll receive a 1.0x bonus. If we improve on last year’s RCE, we’ve created value and we’ll receive greater than a 1.0x bonus.  If our RCE is lower than last year, we’ve destroyed value and will receive less than a 1.0x bonus."
What and why are we doing this? ,"This change is being made to create a simple, comprehensive bonus measure that promotes an improved ownership mentality. The new metric allows for improved collaboration (due to a single metric able to be used across departments), better longer-term thinking (all years are linked together), and improved stewardship behavior over Company_A’s balance sheet resources (rather than just being focused on the Income Statement, as our current bonus is)"
"What is the intention of this change, how does it fit into the overall Company_A comp philosophy? How is this change beneficial to employees? ","RCE maps directly to One Company_A’s ownership culture at all levels of the company by making what’s good for the company and shareholders also good for employees and their families. Importantly, we are moving away from a bonus payout based on performance against a negotiated plan, and moving to RCE, where you can be assured that if you make a decision to improve RCE, your bonus will go up. Traditionally our business plan, which represented a 1.0 ECB payout, always included subjective growth on Sales and EBITDA targets. With the RCE plan, employees achieve a 1.0 simply by attaining the same RCE as the prior year, making it likely to lead to higher payouts for employees."
"I understand the cash flow analysis gives investors a better picture of the financial health of Company_A. The aim is to connect the bonus payment to the full picture of company performance/ financial health, which the RCE can provide (better than ECB).  
- Is the focus here on the benefit of investors rather than employees? ",the critical point of RCE is that both internal and shareholder interests are aligned – what drives sustainable success within the company is both good for employees internally and also shareholders externally.
Is this a cost cutting initiative?  ,"No – see above note on the targets on RCE vs prior targets. In the new RCE method, achieving the same RCE as the prior year will achieve a 1.0 bonus payout, while improving RCE drives value creation and results in a payout greater than 1.0x. If RCE declines that means value is destroyed and will result in a bonus less that 1.0x."
Is this an initiative to change employees’ behavior to follow more of an ownership/ long term success orientation (Company_A comp philosophy)? ,"Yes, that is correct."
What impact have possible future restructuring on RCE versus the current Multiplier calculation? ,"This is still to-be-determined. As with the current bonus calculation (ie, there are currently opportunities for exceptions in the bonus calc), the Compensation Committee will likely have flexibility to adjust for anomalies or items that are outside of normal business performance or operations. That said, the general intent of RCE is that it is more inclusive of total company performance than a traditional measure, so there will likely be fewer exceptions or exclusions than the old plan. "
What are our competitors doing? Is this market practice/ trend? ,"The thought is that this will be a strategic advantage for Company_A, both tactically (as all business cases can be judged through the lens of RCE) but also in terms of employee motivation and retention, as an ownership mentality and focus on RCE leads to higher bonus payouts."
How and when will this change be implemented? Timeline? Is this global or any local country exceptions possible? ,"This will be a global program. The first period of performance will have started on January 1, 2022, and run through December 31, 2022. "
How will this change impact employees leaving the company due to restructuring? ,There will be no change to the restructuring or other termination payout rules – these will all function the same as prior years.
What would happen if this change is not implemented? (Consequences for the organization of missing this opportunity) ,"This change, conceptually, has already been approved by the Compensation Committee (as is the bonus plan each year)."
We already has plenty of metrics; why do they need another one?,"Companies with too many metrics get pulled in too many directions; attempting to optimize multiple metrics means they’re likely not optimizing any single metric. We often find that each BU/function/geography unilaterally decides which metric(s) they’ll try to optimize. A core strength of RCE is its ability to help managers balance among traditional metrics such as revenue growth, margins, and capital productivity. RCE correlates more strongly with TSR than any traditional metric and works much better as a period measure, especially below the C-Suite and executive team levels."
"If this is so great, why haven’t I heard of it before? ","Fortuna is a young boutique and has not focused on its growth ambitions – until recently. Because of the sensitive and strategic nature of executive measurement, most companies prefer to limit disclosure. Varian Medical Systems has publicly disclosed its adoption of our framework in SEC filings and articles, and we’ve provided details on their implementation in our case study."
"How is this different than EVA, which some companies tried years ago, then abandoned?","Although EVA has advantages over other metrics, it has several deficiencies that RCE addresses as described earlier – particularly that it discourages long-term investments. Many early EVA implementations tended to be overly academic and complex, in most cases requiring more than 150 adjustments. RCE has been specifically designed with these EVA flaws in mind, so that it is much more practical to implement."
RCE sounds too complicated! How will non-finance/accounting people ever understand this?,"We have extensive experience in successfully enabling non-financial people to understand how they can thrive with our methodology.  Our goal is to drive value creation, not to create academic research."
How will the next big acquisition impact this new measure?,"Like organic investments (say, investment in PP&E), acquisitions are made with the intention to create positive RCE on PV basis. While large capital charge may get added in the year of acquisition, additional GCE benefit should more than offset this charge in the years following the acquisition. Some acquisitions may take longer to pay off than others, but under the RCE improvement-based incentive system target is always set to previous year actual RCE, thus making sure all positive NPV investment proportionally reward employees over the life of the investment."
Who decides the capital charge? For some shareholders this will be higher than we would decide ourselves.,"Capital charge (and required return) is determined by the riskiness of the asset, and not necessarily by the risk appetite of investors in the asset. It is meant to be prospective, and is the opportunity cost of investing in an asset, given the risk it carries. For Company_A required return is determined as 8.5%."
